172.28.8.2 172.27.13.47 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06281 HTTP/1.1" 200 4 22471us 22ms 0s
172.28.8.2 172.27.4.25 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 13061us 13ms 0s
172.28.8.2 172.27.6.111 - - [01/Jul/2025:00:00:01 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 204304us 204ms 0s
172.28.8.2 172.27.13.53 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06268 HTTP/1.1" 200 4 33964us 33ms 0s
172.28.8.2 172.27.4.138 - - [01/Jul/2025:00:00:01 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 84638us 84ms 0s
172.28.8.2 172.27.4.134 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05368 HTTP/1.1" 200 4 19843us 19ms 0s
172.28.8.2 172.27.12.123 - - [01/Jul/2025:00:00:01 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 19910 81842us 81ms 0s
172.28.8.2 172.27.3.190 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05281 HTTP/1.1" 200 4 13069us 13ms 0s
172.29.1.48 10.6.12.178 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC-2C-2-08034 HTTP/1.1" 200 4 15133us 15ms 0s
172.28.8.2 172.27.11.24 - - [01/Jul/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05740 HTTP/1.1" 200 4 21918us 21ms 0s
172.28.8.2 172.27.6.111 - - [01/Jul/2025:00:00:01 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 139630 126851us 126ms 0s
172.28.8.3 - - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check HTTP/1.1" 200 4 10451us 10ms 0s
172.28.8.2 172.27.4.172 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19167 HTTP/1.1" 200 4 16786us 16ms 0s
172.28.8.2 172.27.0.169 - - [01/Jul/2025:00:00:02 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 65410us 65ms 0s
172.29.1.48 10.6.12.169 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC2B-10-08030 HTTP/1.1" 200 4 15816us 15ms 0s
172.28.8.2 172.27.1.114 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06339 HTTP/1.1" 200 4 15680us 15ms 0s
172.28.8.2 172.27.0.21 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21280 HTTP/1.1" 200 4 22461us 22ms 0s
172.29.1.48 10.20.32.60 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-MILTPK--08514 HTTP/1.1" 200 4 23044us 23ms 0s
172.28.8.2 172.27.3.141 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21104 HTTP/1.1" 200 4 24590us 24ms 0s
172.28.8.2 172.27.11.171 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05736 HTTP/1.1" 200 4 17774us 17ms 0s
172.28.8.2 172.27.3.160 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--24009 HTTP/1.1" 200 4 25632us 25ms 0s
172.28.8.2 172.27.11.181 - - [01/Jul/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19105 HTTP/1.1" 200 4 13079us 13ms 0s
